Test Case ID,Requirement Ref,Test Type,Test Level,Title,Pre-condition,Test Case Description,Step No,Test Step Description,Post-condition,Input Data,Expected result,Remarks,Testing methods
AUTH-LOGIN-001,Authentication,Functional,System Integration Test,Login succeeds with email/password,User record exists with provider=Email,Verify /api/auth/login returns JWT for valid credentials,1,POST /api/auth/login with correct email/password,JWT token issued; user data returned,"{""email"":""member@test.com"",""password"":""Secret1""}","200 + success=true + token starts with ""Bearer""",Happy path,ECP (Equivalence Class Partitioning)
AUTH-LOGIN-002,Authentication,Functional,System Integration Test,Invalid password is rejected,User record exists,Verify /api/auth/login error on wrong password,1,POST /api/auth/login with valid email but wrong password,No token created,"{""email"":""member@test.com"",""password"":""bad""}","400 + error=""Password Incorrect""",Negative,ECP (Equivalence Class Partitioning)
AUTH-LOGIN-003,Authentication,Security,System Integration Test,Provider mismatch blocked,User exists with provider=Google and same email,Verify login via /api/auth/login fails if account belongs to OAuth provider,1,POST /api/auth/login with google-linked email + password,Account unaffected,"{""email"":""oauth@test.com"",""password"":""Any""}",400 + error mentions provider already in use,Security rule,State-based
AUTH-REGISTER-001,Authentication,Functional,System Integration Test,Register new member,Email not used,Verify /api/auth/register creates account and sends welcome email,1,"POST /api/auth/register with firstName,lastName,email,password",User persisted; token issued,"{""email"":""new@test.com"",""firstName"":""New"",""lastName"":""User"",""password"":""Secret1"",""isSubscribed"":false}",200 + success=true + response.user contains role Member,Happy path,ECP (Equivalence Class Partitioning)
AUTH-REGISTER-002,Authentication,Functional,System Integration Test,Duplicate email prevented,Email already registered,Verify /api/auth/register rejects duplicate email,1,POST register with existing email,No new account,"{""email"":""member@test.com"",""firstName"":""Another"",""lastName"":""User"",""password"":""Secret1""}","400 + error=""That email address is already in use.""",Negative,ECP (Equivalence Class Partitioning)
AUTH-REGISTER-003,Authentication,Functional,System Integration Test,Missing fields validation,—,Verify register requires first and last name,1,POST register with email/password but empty lastName,Request rejected,"{""email"":""noname@test.com"",""firstName"":""Only"",""password"":""Secret1""}","400 + error=""You must enter your full name.""",Validation,BVA (Boundary Value Analysis)
AUTH-FORGOT-001,Authentication,Functional,System Integration Test,Forgot password sends reset email,User exists,Verify /api/auth/forgot generates token and email,1,POST /api/auth/forgot with registered email,resetPasswordToken saved + expires timestamp,"{""email"":""member@test.com""}",200 + message instructing to check email,Email notification,State-based
AUTH-FORGOT-002,Authentication,Functional,System Integration Test,Forgot password unknown email,Email not in DB,Verify forgot password rejects unknown email,1,POST /api/auth/forgot with random email,No token created,"{""email"":""ghost@test.com""}","400 + error ""No user found for this email address.""",Negative,ECP (Equivalence Class Partitioning)
AUTH-RESET-001,Authentication,Functional,System Integration Test,Reset password with valid token,resetPasswordToken exists and not expired,Verify /api/auth/reset/:token allows new password,1,POST /api/auth/reset/<valid_token> with password,resetPasswordToken cleared; password updated,"{""password"":""NewSecret1""}",200 + success message,Token flow,State-based
AUTH-RESET-002,Authentication,Security,System Integration Test,Reset fails when token expired,Token older than 1h,Verify /api/auth/reset/:token rejects expired tokens,1,POST /api/auth/reset/<expired_token> with password,Password unchanged,"{""password"":""NewSecret1""}","400 + error ""Your token has expired...""",Security,BVA (Boundary Value Analysis)
AUTH-SELFRESET-001,Authentication,Security,System Integration Test,Authenticated password change verifies old password,User logged in with JWT,Verify /api/auth/reset (auth) compares current password before updating,1,POST /api/auth/reset with password + confirmPassword under Bearer token,Password rotated; email notification sent,"{""password"":""OldSecret"",""confirmPassword"":""NewSecret1""}",200 + message Password changed successfully,Security,State-based
AUTH-OAUTH-001,Authentication,Functional,System Integration Test,Google OAuth callback issues token,Google keys configured; user grants consent,Verify /api/auth/google/callback signs JWT for google user,1,Complete Google OAuth flow and hit callback,User record created/returned with provider Google,OAuth profile,Redirect with Bearer token cookie/query,3rd party integration,Integration
AUTH-OAUTH-002,Authentication,Security,System Integration Test,OAuth disabled when keys missing,Unset GOOGLE env config,Verify login page hides Google button or callback logs warning,1,Start oauth without config,Request rejected,—,Passport not initialised; login not offered,Config control,State-based
USER-001,User Profile,Functional,System Integration Test,Fetch logged-in profile,Bearer token for member,Verify GET /api/user/me returns profile excluding password,1,GET /api/user/me with Authorization header,Profile data cached client side,token,200 + user object with merchant info if available,Happy,State-based
USER-002,User Profile,Functional,System Integration Test,Update profile,User logged in,Verify PUT /api/user updates profile fields,1,"PUT /api/user with profile payload (phone, names)",DB user updated,"{""profile"":{""firstName"":""New"",""lastName"":""Name""}}",200 + success message + updated user,Happy,ECP (Equivalence Class Partitioning)
USER-003,User Management,Security,System Integration Test,Admin-only search enforcement,Non-admin token,Verify GET /api/user/search rejects non-admin,1,GET /api/user/search?q=john with member token,Request denied,Authorization: Bearer member,403 from role.check middleware,RBAC,Security (RBAC/Authorization)
ADDR-001,Address Book,Functional,System Integration Test,Add shipping address,User logged in,Verify POST /api/address/add stores address under user,1,"POST body {fullName,address,city,state,country,zipCode,phoneNumber}",Address saved with user id,"{""fullName"":""John"",""address"":""1 Road"",""city"":""NY"",""state"":""NY"",""country"":""US"",""zipCode"":""10001"",""phoneNumber"":""123""}",200 + success message + address object,Happy,ECP (Equivalence Class Partitioning)
ADDR-002,Address Book,Functional,System Integration Test,Address validation requires fields,User logged in,Verify missing address fields get 400,1,POST /api/address/add with blank address,No address created,"{""city"":""NY""}",400 + validation error (handled by mongoose required fields),Negative,BVA (Boundary Value Analysis)
ADDR-003,Address Book,Functional,System Integration Test,List user addresses,User has >=1 address,Verify GET /api/address/ returns addresses for logged-in user,1,GET /api/address/ with bearer token,Addresses available for checkout,Authorization header,200 + addresses array,Happy,State-based
ADDR-004,Address Book,Security,System Integration Test,Deleting address unauthenticated blocked,User not logged in,Verify DELETE /api/address/delete/:id requires auth (but note route missing auth -> bug),1,DELETE address without token,Expected 401 but actual? Document,—,Should return 401 once bug fixed; current behavior delete allowed -> defect,Security defect,Security
NEWS-001,Newsletter,Functional,System Integration Test,Subscribe to newsletter success,Email not subscribed,Verify POST /api/newsletter/subscribe calls Mailchimp,1,POST {email},Mailchimp subscription + mailgun email,"{""email"":""fan@test.com""}",200 + success message,Integration,State-based
NEWS-002,Newsletter,Functional,System Integration Test,Subscription validation,—,Verify /api/newsletter/subscribe requires email,1,POST with empty body,Request rejected,{},"400 + ""You must enter an email address.""",Validation,BVA (Boundary Value Analysis)
CONTACT-001,Contact Form,Functional,System Integration Test,Create contact request,No existing request for same email,Verify POST /api/contact/add stores message,1,"POST {name,email,message}",Contact saved; mailgun email sent,"{""name"":""Jane"",""email"":""jane@test.com"",""message"":""Help""}",200 + success message referencing email,Happy,ECP (Equivalence Class Partitioning)
