Test Case ID,Requirement Ref,Test Type,Test Level,Title,Pre-condition,Test Case Description,Step No,Test Step Description,Post-condition,Input Data,Expected result,Remarks,Testing methods
QRY-001,Product listing queries,Functional,Unit Test,adds price and rating filters when provided,Jest runs module with mocks/fakes loaded.,Ensure price and rating filters are applied in the aggregation pipeline.,1,Ensure price and rating filters are applied in the aggregation pipeline.,Assertions in the test verify the outcome.,"getStoreProductsQuery(min=100, max=500, rating=4)",Match stage keeps isActive true with price 100-500 and averageRating >=4.,Automated,Jest
QRY-002,Product listing queries,Functional,Unit Test,defaults to only active products when filters missing,Jest runs module with mocks/fakes loaded.,Pipeline should default to active products when no filters are supplied.,1,Pipeline should default to active products when no filters are supplied.,Assertions in the test verify the outcome.,getStoreProductsQuery(),Match stage only contains isActive: true.,Automated,Jest
QRY-003,Product listing queries,Functional,Unit Test,builds lookup pipeline that filters by user wishlist,Jest runs module with mocks/fakes loaded.,Wishlist pipeline should attach isLiked for the supplied user.,1,Wishlist pipeline should attach isLiked for the supplied user.,Assertions in the test verify the outcome.,getStoreProductsWishListQuery(userId='user-123'),Lookup uses ObjectId(user-123) and addFields exposes isLiked flag.,Automated,Jest
QRY-004,Product listing queries,Regression,Unit Test,matches snapshot for standard filters,Jest runs module with mocks/fakes loaded.,Guard pipeline shape for typical price and rating filters.,1,"Compare snapshot for getStoreProductsQuery(50, 200, 4.5)",Assertions in the test verify the outcome.,"getStoreProductsQuery(min=50, max=200, rating=4.5)",Pipeline matches stored Jest snapshot.,Snapshot guard,Jest
QRY-005,Product listing queries,Edge,Unit Test,rating 0 and min > max do not crash,Jest runs module with mocks/fakes loaded.,Handle inverted price bounds without averageRating filter.,1,Handle inverted price bounds without averageRating filter.,Assertions in the test verify the outcome.,"getStoreProductsQuery(min=200, max=50, rating=0)",Pipeline retains price bounds and omits averageRating without throwing.,Automated,Jest
QRY-006,Product listing queries,Regression,Unit Test,wishlist pipeline snapshot,Jest runs module with mocks/fakes loaded.,Ensure wishlist lookup pipeline stays stable for user ids.,1,Compare snapshot for getStoreProductsWishListQuery('abc123'),Assertions in the test verify the outcome.,getStoreProductsWishListQuery(userId='abc123'),Pipeline matches stored Jest snapshot.,Snapshot guard,Jest
QRY-007,Product listing queries,Negative,Unit Test,throws when ObjectId fails (invalid input),Jest runs module with mocks/fakes loaded.,Surface errors when ObjectId construction fails for wishlist pipeline.,1,Surface errors when ObjectId construction fails for wishlist pipeline.,Assertions in the test verify the outcome.,getStoreProductsWishListQuery(userId='bad') with ObjectId mocked to throw,Error is raised for invalid object id input.,Automated,Jest
SRCH-001,Product search route,Functional,Integration Test,returns products when matches are found,Express app bootstrapped in Jest with mocked dependencies.,Search endpoint should return matching products.,1,Request /api/product/list/search/camera with seeded match,Assertions in the test verify the outcome.,GET /api/product/list/search/camera,HTTP 200 with a products array containing matches.,Automated,Jest + Supertest
SRCH-002,Product search route,Negative,Integration Test,returns 404 when nothing matches,Express app bootstrapped in Jest with mocked dependencies.,Search endpoint returns not found when no product matches query.,1,Request /api/product/list/search/unknown with empty result,Assertions in the test verify the outcome.,GET /api/product/list/search/unknown,HTTP 404 with 'No product found' message.,Automated,Jest + Supertest
SRCH-003,Product search route,Negative,Integration Test,returns 400 when find throws error,Express app bootstrapped in Jest with mocked dependencies.,Search endpoint surfaces a 400 when the database find rejects.,1,Force Product.find to reject then request /api/product/list/search/fail,Assertions in the test verify the outcome.,GET /api/product/list/search/fail,HTTP 400 with processing error body.,Automated,Jest + Supertest
PROD-001,Product routes,Functional,Integration Test,GET /api/product/item/:slug returns payload when product and brand active,Express app bootstrapped in Jest with mocked dependencies.,Product detail should return when brand is active and image is ensured.,1,Product detail should return when brand is active and image is ensured.,Assertions in the test verify the outcome.,GET /api/product/item/camera-01,HTTP 200 with product payload and imageUrl populated.,Automated,Jest + Supertest
PROD-002,Product routes,Negative,Integration Test,GET /api/product/item/:slug returns 404 when product brand inactive,Express app bootstrapped in Jest with mocked dependencies.,Inactive brand should make the product unreachable.,1,Inactive brand should make the product unreachable.,Assertions in the test verify the outcome.,GET /api/product/item/camera-old,HTTP 404 with 'No product found' message.,Automated,Jest + Supertest
PROD-003,Product routes,Functional,Integration Test,"GET /api/product/list applies filters, wishlist, and pagination",Express app bootstrapped in Jest with mocked dependencies.,"List endpoint applies category/brand filters, wishlist lookup, sort and paging.",1,"List endpoint applies category/brand filters, wishlist lookup, sort and paging.",Assertions in the test verify the outcome.,GET /api/product/list?category=camera&brand=best-brand&min=10&max=500&page=1&limit=2,"HTTP 200 with count=2, totalPages>=1, wishlist and images applied.",Automated,Jest + Supertest
